Primary Identifier	gene_symbol	description	massspec_evidence	go_annotation_mitochondrial	gfp_evidence	organism_name	mtstargetp	mtsmitoprot	mtsmitofates	cellular_location	cellular_location_evidence	mito_sublocation	mito_sublocation_evidence
YGR235C	MIC26	"Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; Mic26p is a non-essential component of the complex"	6	TRUE	3	S. cerevisiae S288C	0.072	0.1164	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YIL093C	RSM25	Mitochondrial ribosomal protein of the small subunit	6	TRUE	3	S. cerevisiae S288C	0.322	0.4183	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YCR083W	TRX3	"Mitochondrial thioredoxin; highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p"	6	TRUE	3	S. cerevisiae S288C	0.865	0.9872	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YMR060C	SAM37	"Component of the Sorting and Assembly Machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; contributes to SAM complex stability"	6	TRUE	3	S. cerevisiae S288C	0.027	0.0275	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YPL118W	MRP51	"Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences"	6	TRUE	3	S. cerevisiae S288C	0.507	0.293	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YKL192C	ACP1	"Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p"	6	TRUE	3	S. cerevisiae S288C	0.96	0.9996	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YMR056C	AAC1	"Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator; relocalizes from mitochondrion to cytoplasm upon DNA replication stress"	6	TRUE	3	S. cerevisiae S288C	0.106	0.0255	0	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YDR376W	ARH1	"Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability"	6	TRUE	3	S. cerevisiae S288C	0.687	0.9626	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	Gene Ontology
YJR080C	AIM24	"Protein with a role in determining mitochondrial architecture; inner membrane protein that interacts physically and genetically with the MICOS complex and is required for its integrity"	6	TRUE	3	S. cerevisiae S288C	0.793	0.9686	0.679	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOR040W	GLO4	"Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication"	6	TRUE	3	S. cerevisiae S288C	0.604	0.7659	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	Gene Ontology
YDR377W	ATP17	"Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	6	TRUE	3	S. cerevisiae S288C	0.479	0.9981	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YGL119W	COQ8	"Protein required for ubiquinone biosynthesis and respiratory growth; exhibits genetic interaction with COQ9, suggesting a common function; similar to prokaryotic proteins involved in early steps of ubiquinone biosynthesis; COQ8 has a paralog, YBR230W-A, that arose from the whole genome duplication"	6	TRUE	3	S. cerevisiae S288C	0.95	0.9987	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YGR028W	MSP1	"Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins, ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain"	6	TRUE	2	S. cerevisiae S288C	0.037	0.1582	0	"mitochondrion;nucleus;peroxisome"	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YPR155C	NCA2	"Protein that regulates expression of Fo-F1 ATP synthase subunits; involved in the regulation of mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; functions with Nca3p"	6	TRUE	2	S. cerevisiae S288C	0.161	0.588	0.01	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	mass-spec
YJR144W	MGM101	"Protein with a role in mitochondrial DNA recombinational repair; also involved in interstrand cross-link repair; binds to and catalyzes the annealing of single-stranded mtDNA; oligomerizes to form rings and filaments; related to Rad52-type recombination proteins, with limited overall similarity but sharing conserved functionally important residues; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage and mitochondrial genome maintenance"	6	TRUE	2	S. cerevisiae S288C	0.854	0.8889	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial nucleoid;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YIL114C	POR2	"Putative mitochondrial porin (voltage-dependent anion channel); not required for mitochondrial membrane permeability or mitochondrial osmotic stability; POR2 has a paralog, POR1, that arose from the whole genome duplication"	6	TRUE	2	S. cerevisiae S288C	0.352	0.8085	0.115	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YBR179C	FZO1	"Mitofusin; integral membrane protein involved in mitochondrial outer membrane tethering and fusion; role in mitochondrial genome maintenance; efficient tethering and degradation of Fzo1p requires an intact N-terminal GTPase domain; targeted for destruction by the ubiquitin ligase SCF-Mdm30p and the cytosolic ubiquitin-proteasome system"	6	TRUE	2	S. cerevisiae S288C	0.09	0.0188	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YKR049C	FMP46	"Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	6	TRUE	2	S. cerevisiae S288C	0.631	0.7443	0.5	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YDR070C	FMP16	"Protein of unknown function; may be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress"	6	TRUE	2	S. cerevisiae S288C	0.927	0.9938	0.928	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YMR062C	ARG7	"Mitochondrial ornithine acetyltransferase; catalyzes the fifth step in arginine biosynthesis; also possesses acetylglutamate synthase activity, regenerates acetylglutamate while forming ornithine"	6	TRUE	2	S. cerevisiae S288C	0.439	0.3392	0.993	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YDR462W	MRPL28	"Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress"	6	TRUE	2	S. cerevisiae S288C	0.493	0.9746	0.677	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR038W	RRF1	"Mitochondrial ribosome recycling factor; essential for mitochondrial protein synthesis and for the maintenance of the respiratory function of mitochondria"	6	TRUE	2	S. cerevisiae S288C	0.911	0.9945	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YGL107C	RMD9	"Mitochondrial protein required for respiratory growth; mutant phenotype and genetic interactions suggest a role in delivering mt mRNAs to ribosomes; located on matrix face of the inner membrane and loosely associated with mitoribosomes; RMD9 has a paralog, YBR238C, that arose from the whole genome duplication"	6	TRUE	2	S. cerevisiae S288C	0.889	0.8069	0.994	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YDL202W	MRPL11	"Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2"	6	TRUE	2	S. cerevisiae S288C	0.625	0.5285	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YNL177C	MRPL22	Mitochondrial ribosomal protein of the large subunit	6	TRUE	2	S. cerevisiae S288C	0.92	0.8903	0.722	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YNL070W	TOM7	"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex"	6	TRUE	2	S. cerevisiae S288C	0.148	0.7393	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YGR112W	SHY1	"Mitochondrial inner membrane protein required for complex IV assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; similar to human SURF1 involved in Leigh Syndrome; complex IV is also known as cytochrome c oxidase"	6	TRUE	2	S. cerevisiae S288C	0.675	0.941	0.406	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YML128C	MSC1	"Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated"	6	TRUE	0	S. cerevisiae S288C	0.019	0.0384	0	mitochondrion	"MassSpec;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YMR193W	MRPL24	"Mitochondrial ribosomal protein of the large subunit; two mitochondrial ribosomal proteins, YmL14 and YmL24, have been assigned to the same gene"	6	TRUE	0	S. cerevisiae S288C	0.853	None	0.996	mitochondrion	"MassSpec;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
Q0140	VAR1	"Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions"	6	TRUE	0	S. cerevisiae S288C	0.118	0.9564	0.128	mitochondrion	"MassSpec;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YPR133W-A	TOM5	"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import of all mitochondrially directed proteins; involved in transfer of precursors from the Tom70p and Tom20p receptors to the Tom40p pore"	6	TRUE	0	S. cerevisiae S288C	0.06	0.0014	0	mitochondrion	"MassSpec;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YKL141W	SDH3	"Subunit of succinate dehydrogenase and of TIM22 translocase; functions as cytochrome b subunit of succinate dehydrogenase, which couples oxidation of succinate to transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; also required for mitochondrial inner membrane protein import as part of the TIM22 complex; SDH3 has a paralog, SHH3, that arose from the whole genome duplication"	6	TRUE	0	S. cerevisiae S288C	0.886	0.9874	0.996	mitochondrion	"MassSpec;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YJL045W		"Minor succinate dehydrogenase isozyme; participates in oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner; YJL045W has a paralog, SDH1, that arose from the whole genome duplication"	6	TRUE	0	S. cerevisiae S288C	0.602	0.8169	0.757	"mitochondrion;plasma membrane"	"MassSpec;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YDR513W	GRX2	"Cytoplasmic glutaredoxin; thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress; GRX2 has two in-frame start codons resulting in a shorter isoform that is retained in the cytosol and a longer form translocated to the mitochondrial matrix; GRX2 has a paralog, GRX1, that arose from the whole genome duplication"	6	TRUE	0	S. cerevisiae S288C	0.071	0.0096	0.996	"cytosol;mitochondrion"	"MassSpec;Gene Ontology"	mitochondrial matrix	mass-spec
YDL130W-A	STF1	"Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p act as stabilizing factors that enhance inhibitory action of the Inh1p protein; protein abundance increases in response to DNA replication stress; STF1 has a paralog, INH1, that arose from the whole genome duplication"	6	TRUE	2	S. cerevisiae S288C	0.858	0.9894	0.998	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YBL098W	BNA4	"Kynurenine 3-mono oxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; putative therapeutic target for Huntington disease"	6	TRUE	2	S. cerevisiae S288C	0.022	0.0116	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YDR296W	MHR1	"Protein involved in homologous recombination in mitochondria; required for recombination-dependent mtDNA partitioning; involved in stimulation of mitochondrial DNA replication in response to oxidative stress"	6	TRUE	2	S. cerevisiae S288C	0.336	0.921	0.012	"mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YJL166W	QCR8	"Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p"	6	TRUE	2	S. cerevisiae S288C	0.045	0.8942	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YML025C	YML6	"Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein; essential for viability, unlike most other mitoribosomal proteins"	6	TRUE	2	S. cerevisiae S288C	0.624	0.6562	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YOR158W	PET123	"Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator"	6	TRUE	2	S. cerevisiae S288C	0.507	0.9901	0.138	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDR041W	RSM10	"Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins"	6	TRUE	2	S. cerevisiae S288C	0.716	0.8482	0.841	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YBR037C	SCO1	"Copper-binding protein of mitochondrial inner membrane; required for cytochrome c oxidase activity and respiration; may function to deliver copper to cytochrome c oxidase; similar to thioredoxins; SCO1 has a paralog, SCO2, that arose from the whole genome duplication"	6	TRUE	2	S. cerevisiae S288C	0.945	0.9959	0.998	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YPL104W	MSD1	"Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"	6	TRUE	2	S. cerevisiae S288C	0.759	0.981	0.97	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YMR188C	MRPS17	Mitochondrial ribosomal protein of the small subunit	6	TRUE	2	S. cerevisiae S288C	0.475	0.5039	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR083W	SAM35	"Component of the sorting and assembly machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; the complex binds precursors of beta-barrel proteins and facilitates their insertion into the outer membrane"	6	TRUE	2	S. cerevisiae S288C	0.291	0.5233	0.004	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YNL306W	MRPS18	"Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins"	6	TRUE	2	S. cerevisiae S288C	0.887	0.9874	0.736	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR003C	TCD1	"tRNA threonylcarbamoyladenosine dehydratase; required for the ct6A tRNA base modification, where an adenosine at position 37 is modified to form a cyclized active ester with an oxazolone ring; localized to the mitochondrial outer membrane; TCD1 has a paralog, TCD2, that arose from the whole genome duplication"	6	TRUE	2	S. cerevisiae S288C	0.059	0.8866	0.333	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YDR268W	MSW1	Mitochondrial tryptophanyl-tRNA synthetase	6	TRUE	2	S. cerevisiae S288C	0.58	0.9879	0.222	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YPL063W	TIM50	"Essential component of the TIM23 complex; acts as receptor for the translocase of the inner mitochondrial membrane (TIM23) complex guiding incoming precursors from the TOM complex; may control the gating of the Tim23p-Tim17p channel"	6	TRUE	2	S. cerevisiae S288C	0.973	0.9978	1	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YPR001W	CIT3	"Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate"	6	TRUE	2	S. cerevisiae S288C	0.801	0.921	0.93	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YDR036C	EHD3	"3-hydroxyisobutyryl-CoA hydrolase; member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis"	6	TRUE	2	S. cerevisiae S288C	0.741	0.9212	0.878	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YBR262C	MIC12	"Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane"	6	TRUE	2	S. cerevisiae S288C	0.431	0.6002	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YMR256C	COX7	"Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain"	6	TRUE	2	S. cerevisiae S288C	0.537	0.9853	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YBR227C	MCX1	"Mitochondrial matrix protein; putative ATP-binding chaperone with non-proteolytic function; similar to bacterial ClpX proteins"	6	TRUE	2	S. cerevisiae S288C	0.916	0.9868	0.992	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YML081C-A	ATP18	"Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms"	6	TRUE	2	S. cerevisiae S288C	0.091	0.2651	0.17	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOL077W-A	ATP19	"Subunit k of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase"	6	TRUE	2	S. cerevisiae S288C	0.037	0.1066	0.006	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YPL091W	GLR1	"Cytosolic and mitochondrial glutathione oxidoreductase; converts oxidized glutathione to reduced glutathione; cytosolic Glr1p is the main determinant of the glutathione redox state of the mitochondrial intermembrane space; mitochondrial Glr1p has a role in resistance to hyperoxia; protein abundance increases in response to DNA replication stress"	6	FALSE	2	S. cerevisiae S288C	0.637	0.5012	0.012	"cytosol;mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YLR163C	MAS1	"Beta subunit of the mitochondrial processing protease (MPP); essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins"	6	TRUE	1	S. cerevisiae S288C	0.884	0.9947	0.998	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDL067C	COX9	"Subunit VIIa of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain"	6	TRUE	1	S. cerevisiae S288C	0.16	0.0699	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YEL039C	CYC7	"Cytochrome c isoform 2, expressed under hypoxic conditions; also known as iso-2-cytochrome c; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; protein abundance increases in response to DNA replication stress; CYC7 has a paralog, CYC1, that arose from the whole genome duplication"	6	TRUE	1	S. cerevisiae S288C	0.157	0.4633	0.033	mitochondrion	"MassSpec;GFP;Gene Ontology"	"intermembrane space;mitochondrial intermembrane space"	"mass-spec;Gene Ontology"
YLR077W	FMP25	"Protein required for assembly of respiratory complex III; mitochondrial inner membrane protein; required for an early step in assembly of respiratory complex III (cytochrome bc1 complex); mRNA is targeted to mitochondria"	6	TRUE	1	S. cerevisiae S288C	0.918	0.9712	0.962	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YPL222W	FMP40	"Putative protein of unknown function; proposed to be involved in responding to environmental stresses; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	6	TRUE	1	S. cerevisiae S288C	0.122	0.8904	0.552	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YHR147C	MRPL6	Mitochondrial ribosomal protein of the large subunit	6	TRUE	1	S. cerevisiae S288C	0.748	0.9873	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YMR158W	MRPS8	Mitochondrial ribosomal protein of the small subunit	6	TRUE	1	S. cerevisiae S288C	0.383	0.9495	0.039	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDR231C	COX20	"Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase"	6	TRUE	1	S. cerevisiae S288C	0.127	0.0313	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YPL099C	INA17	"F1F0 ATPase synthase peripheral stalk assembly factor; subunit of the matrix-exposed inner mitochondrial membrane localized INA complex (Ina22p-Ina17p) involved in assembly of the F1F0 peripheral stalk; co-purifies with Ina22p and ATP synthase subunits; null mutant displays elevated frequency of mitochondrial genome loss and has a respiratory growth defect"	6	TRUE	1	S. cerevisiae S288C	0.967	0.9937	0.995	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YGR147C	NAT2	"Protein of unknown function; has an apparent role in acetylation of N-terminal methionine residues"	6	FALSE	1	S. cerevisiae S288C	0.696	0.9831	0.012	mitochondrion	"MassSpec;GFP"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YBR121C	GRS1	"Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication"	6	FALSE	0	S. cerevisiae S288C	None	None	None	mitochondrion	MassSpec	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YJL082W	IML2	"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress; IML2 has a paralog, YKR018C, that arose from the whole genome duplication"	6	FALSE	0	S. cerevisiae S288C	0.307	0.0552	0.011	"mitochondrion;nucleus"	"MassSpec;Gene Ontology"	mitochondrial outer membrane	mass-spec
